,Unnamed: 0,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,Lenses,Film Cameras,Viewfinders & Eyecups,Digital Cameras,Flashes,Lens Hoods,Lens Caps,Battery Grips,"Lens Adapters, Mounts & Tubes","Cases, Bags & Covers"
26,42,,nikon hs7 metal,1.53591E+11,"Excellent++ Nikon HS-7 Metal Lens Hood for 55mm f/1.2, 58mm f/1.2, 105mm f/2.8",https://www.ebay.com/itm/Excellent-Nikon-HS-7-Metal-Lens-Hood-55mm-f-1-2-58mm-f-1-2-105mm-f-2-8-/153590576041,16.99,USD,JP,78999,Lens Hoods,FixedPrice,Used,0.133667801,0.101664896,0.088803089,0.022727273,0.035087719,0.2,0.096045198,0.095238095,0.047619048,0.101851852
27,43,,nikon df digital,1.43373E+11,Nikon Df Digital SLR Camera *Shutter Count 6800*#23563 G3,https://www.ebay.com/itm/Nikon-Df-Digital-SLR-Camera-Shutter-Count-6800-23563-G3-/143372588756,1267.2,USD,JP,31388,Digital Cameras,FixedPrice,Used,-1.14E-16,-9.37E-17,-1.23E-16,3.12E-17,5.55E-17,3.47E-18,-1.77E-16,2.65E-16,-7.63E-17,6.94E-17
28,44,,nikon afs dx,1.53636E+11,Nikon AF-S DX Zoom-Nikkor 18-70mm f/3.5-4.5 G IF ED Lens,https://www.ebay.com/itm/Nikon-AF-S-DX-Zoom-Nikkor-18-70mm-f-3-5-4-5-G-IF-ED-Lens-/153636211659,89,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
29,57,,nikon af nikkor,4.01887E+11,Excellent+++++ Nikon AF NIKKOR 35mm f/2 Wide Angle Prime Lens w/Case from Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-NIKKOR-35mm-f-2-Wide-Angle-Prime-Lens-w-Case-Japan-/401886710467,199,USD,JP,3323,Lenses,StoreInventory,Used,0.197097294,0.263195182,0.05019305,0.086363636,0.081871345,0.153846154,0.13559322,0.06122449,0.085714286,0.101851852
30,59,,nikon shutter cable,3.3332E+11,Nikon Shutter Cable Release Remote Cord AR-2 For F F2 Nikomat Body **MINT**,https://www.ebay.com/itm/Nikon-Shutter-Cable-Release-Remote-Cord-AR-2-F-F2-Nikomat-Body-MINT-/333320341105,12,USD,JP,64345,Remotes & Shutter Releases,StoreInventory,Used,-1.14E-16,-9.37E-17,-1.23E-16,3.12E-17,5.55E-17,3.47E-18,-1.77E-16,2.65E-16,-7.63E-17,6.94E-17
31,66,,nikon nippon kogaku,2.23665E+11,Nikon Nippon Kogaku Fisheye-NIKKOR Auto 8mm f/2.8 Lens,https://www.ebay.com/itm/Nikon-Nippon-Kogaku-Fisheye-NIKKOR-Auto-8mm-f-2-8-Lens-/223665019038,829.99,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
32,74,,mintnikon f3 35mm,2.8361E+11,【Mint】Nikon F3 35mm SLR Film Camera Body from Japan-#1449,https://www.ebay.com/itm/Mint-Nikon-F3-35mm-SLR-Film-Camera-Body-Japan-1449-/283609680350,319.99,USD,JP,15230,Film Cameras,StoreInventory,Used,0.188317506,0.247254694,0.05019305,0.063636364,0.081871345,0.153846154,0.13559322,0.054421769,0.085714286,0.101851852
33,80,,nikon ai nikkor,3.9241E+11,MINT in BOX Nikon Ai NIKKOR 28mm f3.5 Manual Focus Lens w/HOOD From Japan,https://www.ebay.com/itm/MINT-BOX-Nikon-Ai-NIKKOR-28mm-f3-5-Manual-Focus-Lens-w-HOOD-Japan-/392409550627,79.99,USD,JP,3323,Lenses,StoreInventory,Used,0.122558681,0.124335813,-1.23E-16,0.045454545,0.011695906,0.107692308,0.084745763,0.027210884,0.028571429,0.055555556
34,81,,top mintnikon nikonos,1.33156E+11,�E�TOP MINT�E�Nikon Nikonos V 35mm Film Camera w/ Nikkor 35mm F2.5 Lens From Japan,https://www.ebay.com/itm/TOP-MINT-Nikon-Nikonos-V-35mm-Film-Camera-w-Nikkor-35mm-F2-5-Lens-Japan-/133156075395,259.99,USD,JP,15230,Film Cameras,FixedPrice,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
35,83,,nikon dw3 waist,1.53636E+11,[MINT] Nikon DW-3 Waist Level Finder For Nikon F3 View Finder from Japan #027,https://www.ebay.com/itm/MINT-Nikon-DW-3-Waist-Level-Finder-Nikon-F3-View-Finder-Japan-027-/153636353943,59.9,USD,JP,167930,Viewfinders & Eyecups,FixedPrice,Used,0.074538613,0.061636557,0.05019305,0.040909091,0.081871345,0.046153846,0.050847458,0.054421769,0.085714286,0.064814815
36,1,,nikon af nikkor,1.53628E+11,Nikon AF Nikkor 80-200mm F/2.8 D ED Lens w/Hood New Model Near Mint Tested #3955,https://www.ebay.com/itm/Nikon-AF-Nikkor-80-200mm-F-2-8-D-ED-Lens-w-Hood-New-Model-Near-Mint-Tested-3955-/153628363680,439,USD,JP,3323,Lenses,StoreInventory,Used,0.122558681,0.117605384,-1.23E-16,0.045454545,5.55E-17,0.107692308,0.084745763,0.006802721,-7.63E-17,0.037037037
37,6,,nikon fe2 35mm,1.63754E+11,Nikon FE2 35mm SLR Film Camera #18719 D1,https://www.ebay.com/itm/Nikon-FE2-35mm-SLR-Film-Camera-18719-D1-/163754379625,189,USD,JP,15230,Film Cameras,FixedPrice,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
38,11,,nikon f5 35mm,1.33165E+11,Nikon F5 35mm SLR Film Camera SN3007908 w/Battery MN-30 Quick Charger MH-30,https://www.ebay.com/itm/Nikon-F5-35mm-SLR-Film-Camera-SN3007908-w-Battery-MN-30-Quick-Charger-MH-30-/133164817562,214.8,USD,JP,15230,Film Cameras,StoreInventory,Used,0.122558681,0.201558626,-1.23E-16,0.045454545,5.55E-17,0.107692308,0.084745763,0.006802721,-7.63E-17,0.037037037
39,19,,nikon fm 35mm,3.83138E+11,Nikon FM 35mm SLR Film Camera Black Body Only From JAPAN #434  *As-Is*,https://www.ebay.com/itm/Nikon-FM-35mm-SLR-Film-Camera-Black-Body-Only-JAPAN-434-As-Is-/383138450069,59.9,USD,JP,15230,Film Cameras,StoreInventory,Used,0.141193335,0.23308537,0.042471042,0.054545455,0.01754386,0.128205128,0.084745763,0.020408163,0.028571429,0.074074074
40,28,,nikon f100 35mm,3.33329E+11,Nikon F100 35mm SLR Film Camera Body Only - Black,https://www.ebay.com/itm/Nikon-F100-35mm-SLR-Film-Camera-Body-Only-Black-/333329425922,168,USD,JP,15230,Film Cameras,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
41,31,,nikon ai lens,2.73968E+11,[Exc+] Nikon Ai Lens NIKKOR 50mm F1.8 MF Standard Lens with Tracking No.,https://www.ebay.com/itm/Exc-Nikon-Ai-Lens-NIKKOR-50mm-F1-8-MF-Standard-Lens-Tracking-No-/273968389623,88.99,USD,JP,3323,Lenses,StoreInventory,Used,0.133130263,0.112646121,-1.23E-16,0.022727273,0.005847953,0.158974359,0.084745763,2.65E-16,-7.63E-17,0.037037037
42,42,,nikon ai nikkor,4.01886E+11,"""Top Mint in Box"" Nikon Ai Nikkor 28mm f/2.8 MF Wide Angle Lens From Japan #814",https://www.ebay.com/itm/Top-Mint-Box-Nikon-Ai-Nikkor-28mm-f-2-8-MF-Wide-Angle-Lens-Japan-814-/401885730129,199.99,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.108395324,-1.23E-16,0.022727273,0.011695906,0.107692308,0.084745763,0.020408163,0.028571429,0.055555556
43,45,,nikon f6 35mm,1.33117E+11,Nikon F6 35mm SLR Film Camera #22996 E4,https://www.ebay.com/itm/Nikon-F6-35mm-SLR-Film-Camera-22996-E4-/133116706209,831.6,USD,JP,15230,Film Cameras,FixedPrice,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
44,46,,nikon fm3a 35mm,1.63721E+11,Nikon FM3A 35mm SLR Film Camera #21526 D4,https://www.ebay.com/itm/Nikon-FM3A-35mm-SLR-Film-Camera-21526-D4-/163720723458,642.6,USD,JP,15230,Film Cameras,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
45,58,,nikon sb80dx speed,4.01869E+11,[MINT] Nikon SB-80DX Speed Light Shoe Mount Flash from Japan w/Case,https://www.ebay.com/itm/MINT-Nikon-SB-80DX-Speed-Light-Shoe-Mount-Flash-Japan-w-Case-/401869215860,49.99,USD,JP,48515,Flashes,FixedPrice,Used,0.083318402,0.077577046,0.05019305,0.063636364,0.081871345,0.046153846,0.050847458,0.06122449,0.085714286,0.064814815
46,59,,nikon af nikkor,2.23575E+11,[Excellent] Nikon AF Nikkor 80-200mm f/2.8 ED (90-W409),https://www.ebay.com/itm/Excellent-Nikon-AF-Nikkor-80-200mm-f-2-8-ED-90-W409-/223574915691,170,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
47,64,,nikon af d,1.73946E+11,[Mint in Box] SIGMA 17-50MM F/2.8 EX DC OS HSM Zoom Lens For NIKON AF D #159,https://www.ebay.com/itm/Mint-Box-SIGMA-17-50MM-F-2-8-EX-DC-OS-HSM-Zoom-Lens-NIKON-AF-D-159-/173946425148,141.95,USD,JP,3323,Lenses,StoreInventory,Used,-1.14E-16,0.006730429,-1.23E-16,3.12E-17,0.011695906,3.47E-18,-1.77E-16,0.020408163,0.028571429,0.018518519
48,69,,nikon ais zoomnikkor,1.22703E+11,Nikon Ai-S Zoom-Nikkor 35-105mm F3.5-4.5 MF w/Hood,https://www.ebay.com/itm/Nikon-Ai-S-Zoom-Nikkor-35-105mm-F3-5-4-5-MF-w-Hood-/122703421001,40,USD,JP,3323,Lenses,StoreInventory,Used,0.122558681,0.201558626,-1.23E-16,0.045454545,5.55E-17,0.117948718,0.084745763,0.006802721,-7.63E-17,0.037037037
49,71,,nikon ai zoom,1.63844E+11,[AS IS] Nikon Ai Zoom Nikkor 80-200mm f/4.5 MF Lens From Japan,https://www.ebay.com/itm/AS-IS-Nikon-Ai-Zoom-Nikkor-80-200mm-f-4-5-MF-Lens-Japan-/163844204027,14.4,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
50,77,,nikon nikkorh auto,1.92907E+11,Excellent+++ Nikon NIKKOR-H Auto 50mm f/2 non-Ai Lens from Japan #483,https://www.ebay.com/itm/Excellent-Nikon-NIKKOR-H-Auto-50mm-f-2-non-Ai-Lens-Japan-483-/192906747728,37,USD,JP,3323,Lenses,StoreInventory,Used,0.207668877,0.174282678,0.05019305,0.063636364,0.081871345,0.205128205,0.13559322,0.054421769,0.085714286,0.101851852
51,78,,etsumi shutter release,2.23631E+11,Etsumi Shutter Release Cable Code and button for Canon film camera F-1 A-1 etc,https://www.ebay.com/itm/Etsumi-Shutter-Release-Cable-Code-and-button-Canon-film-camera-F-1-A-1-etc-/223631389148,14.99,USD,JP,155707,Cables & Adapters,FixedPrice,Used,0.019888909,0.175345377,0.088803089,0.095454545,0.035087719,0.056410256,0.011299435,0.095238095,0.047619048,0.12962963
52,81,,nikon ais nikkor,1.73849E+11,[Excellent+++!] Nikon Ai-S Nikkor 50mm f/1.4 MF Lens AIS w/caps #288,https://www.ebay.com/itm/Excellent-Nikon-Ai-S-Nikkor-50mm-f-1-4-MF-Lens-AIS-w-caps-288-/173849097671,120,USD,JP,3323,Lenses,FixedPrice,Used,0.141910052,0.12858661,-1.23E-16,0.045454545,5.55E-17,0.158974359,0.084745763,0.006802721,-7.63E-17,0.037037037
53,84,,nikon fe 35mm,2.64466E+11,Nikon FE 35mm SLR Film Camera Body Only SN3131295 **Excellent++**,https://www.ebay.com/itm/Nikon-FE-35mm-SLR-Film-Camera-Body-Only-SN3131295-Excellent-/264465940172,85.8,USD,JP,15230,Film Cameras,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
54,94,,near mintnikon afs,3.03268E+11,【Near MINT】Nikon AF-S Micro NIKKOR 40mm 1:2.8G No.2081364 Japan Seller,https://www.ebay.com/itm/Near-MINT-Nikon-AF-S-Micro-NIKKOR-40mm-1-2-8G-No-2081364-Japan-Seller-/303268165926,145,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
55,96,,nikon new nikkor,1.43385E+11,Nikon New Nikkor 50mm f1.4 MF Non Ai Lens [Excellent+++] from Japan F/S,https://www.ebay.com/itm/Nikon-New-Nikkor-50mm-f1-4-MF-Non-Ai-Lens-Excellent-Japan-F-S-/143384555072,67,USD,JP,3323,Lenses,StoreInventory,Used,0.207668877,0.174282678,0.05019305,0.063636364,0.081871345,0.205128205,0.13559322,0.054421769,0.085714286,0.101851852
56,14,,nikon af600 35mm,2.83611E+11,[Near Mint] Nikon AF600 35mm Point & Shoot Film Camera From Japan #a180,https://www.ebay.com/itm/Near-Mint-Nikon-AF600-35mm-Point-Shoot-Film-Camera-Japan-a180-/283611437574,154.9,USD,JP,15230,Film Cameras,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
57,18,,nikon af nikkor,2.23518E+11,Nikon AF NIKKOR 20-35mm F/2.8 D Lens EXCELLENT+ JAPAN/2581,https://www.ebay.com/itm/Nikon-AF-NIKKOR-20-35mm-F-2-8-D-Lens-EXCELLENT-JAPAN-2581-/223517701157,430,USD,JP,3323,Lenses,FixedPrice,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
58,22,,nikon af nikkor,2.33187E+11,Nikon AF Nikkor 24-50mm F/3.3-4.5 Zoom Lens Very Good Condition,https://www.ebay.com/itm/Nikon-AF-Nikkor-24-50mm-F-3-3-4-5-Zoom-Lens-Very-Good-Condition-/233186613791,39.99,USD,JP,3323,Lenses,StoreInventory,Used,0.133130263,0.112646121,-1.23E-16,0.022727273,5.55E-17,0.158974359,0.084745763,2.65E-16,-7.63E-17,0.037037037
59,36,,free shipping canon,1.53645E+11,Free Shipping Canon PowerShot G10 14.7 MP Digital Camera - Black from Japan,https://www.ebay.com/itm/Free-Shipping-Canon-PowerShot-G10-14-7-MP-Digital-Camera-Black-Japan-/153644833361,119,USD,JP,3323,Lenses,StoreInventory,Used,0.074538613,0.061636557,0.05019305,0.040909091,0.081871345,0.046153846,0.050847458,0.054421769,0.085714286,0.064814815
